Date, Open, High, Low, Close, Volume
10/17/03, 107.00, 107.00, 107.00, 107.00, 3033
10/16/03, 105.00, 105.00, 105.00, 105.00, 10203
10/15/03, 105.00, 105.00, 105.00, 105.00, 16537
10/14/03, 106.00, 106.00, 106.00, 106.00, 13267
10/13/03, 105.00, 105.00, 105.00, 105.00, 23673
10/09/03, 106.00, 106.00, 106.00, 106.00, 32536
10/08/03, 105.00, 105.00, 105.00, 105.00, 83870
10/07/03, 102.00, 102.00, 102.00, 102.00, 21779
10/06/03, 104.00, 104.00, 104.00, 104.00, 501
10/03/03, 104.00, 104.00, 104.00, 104.00, 5987
10/02/03, 102.00, 102.00, 102.00, 102.00, 167122
10/01/03, 102.00, 102.00, 102.00, 102.00, 114930
09/30/03, 102.00, 102.00, 102.00, 102.00, 1320
09/26/03, 100.00, 100.00, 100.00, 100.00, 188800
09/25/03, 100.00, 100.00, 100.00, 100.00, 41898
09/24/03, 100.00, 100.00, 100.00, 100.00, 16041
09/23/03, 100.00, 100.00, 100.00, 100.00, 10000
09/19/03, 102.00, 102.00, 102.00, 102.00, 103543
09/18/03, 102.00, 102.00, 102.00, 102.00, 182100
09/17/03, 104.00, 104.00, 104.00, 104.00, 94000
09/16/03, 105.00, 105.00, 105.00, 105.00, 11500
09/15/03, 109.00, 109.00, 109.00, 109.00, 2850
09/12/03, 109.00, 109.00, 109.00, 109.00, 12707
09/11/03, 110.00, 110.00, 110.00, 110.00, 505
09/10/03, 110.00, 110.00, 110.00, 110.00, 11150
09/09/03, 110.00, 110.00, 110.00, 110.00, 15963
09/08/03, 110.00, 110.00, 110.00, 110.00, 92809
09/05/03, 110.00, 110.00, 110.00, 110.00, 16141
09/04/03, 110.00, 110.00, 110.00, 110.00, 279045
09/03/03, 110.00, 110.00, 110.00, 110.00, 279197
09/02/03, 110.00, 110.00, 110.00, 110.00, 136672
09/01/03, 110.00, 110.00, 110.00, 110.00, 18744
08/29/03, 106.00, 106.00, 106.00, 106.00, 25270
