"component","accuracy","kappa"
1,0.838211091234347,0
2,0.838980322003578,0.00773598296664302
3,0.838980322003578,0.00773598296664302
4,0.838980322003578,0.00773598296664302
5,0.838980322003578,0.00773598296664302
6,0.838980322003578,0.00773598296664302
7,0.838980322003578,0.00773598296664302
8,0.845909361955874,0.0808248969617971
9,0.845909361955874,0.0808248969617971
10,0.845909361955874,0.0808248969617971
11,0.845909361955874,0.0808248969617971
12,0.849761478831246,0.117047295435015
13,0.848992248062016,0.11536774743052
14,0.848992248062016,0.11536774743052
15,0.848992248062016,0.11536774743052
16,0.849761478831246,0.122635205620105
17,0.849761478831246,0.122635205620105
18,0.849761478831246,0.122635205620105
19,0.849761478831246,0.122635205620105
20,0.849761478831246,0.122635205620105
21,0.849761478831246,0.122635205620105
22,0.849761478831246,0.122635205620105
23,0.860554561717352,0.215577199781644
24,0.861323792486583,0.222417446000165
25,0.861323792486583,0.222417446000165
26,0.861323792486583,0.222417446000165
27,0.860554561717352,0.215577199781644
28,0.860554561717352,0.221633634743791
29,0.868258795468098,0.285237159291376
30,0.868258795468098,0.285237159291376
31,0.87056648777579,0.318667188543724
32,0.87056648777579,0.318667188543724
33,0.871335718545021,0.323966270411025
34,0.872104949314252,0.330415899064828
35,0.872874180083482,0.335456632342477
36,0.875968992248062,0.358417351047988
37,0.876738223017293,0.364866979701792
38,0.878288610614192,0.373346907344251
39,0.878288610614192,0.373346907344251
40,0.877519379844961,0.371116908048382
41,0.877519379844961,0.371116908048382
42,0.877519379844961,0.371116908048382
43,0.879063804412642,0.381707361214365
44,0.879063804412642,0.381707361214365
45,0.884460345855695,0.430991421287597
46,0.884460345855695,0.430991421287597
47,0.884460345855695,0.431672858154839
48,0.885998807394156,0.439341299957071
49,0.885998807394156,0.439341299957071
50,0.885998807394156,0.439341299957071
51,0.885229576624925,0.437051545526055
52,0.884460345855695,0.431672858154839
53,0.883691115086464,0.429487129738242
54,0.884460345855695,0.435264070781034
55,0.884460345855695,0.435264070781034
56,0.891377459749553,0.478274593245411
57,0.892909958258795,0.487996435599785
58,0.892909958258795,0.487996435599785
59,0.892909958258795,0.487996435599785
60,0.892909958258795,0.487996435599785
61,0.892903995229577,0.48782862080989
62,0.892134764460346,0.485367181159561
63,0.892134764460346,0.485367181159561
64,0.892903995229577,0.489885283915949
65,0.892134764460346,0.48742384426562
66,0.892903995229577,0.489885283915949
67,0.892134764460346,0.487655184801447
68,0.901371496720334,0.539386051549847
69,0.902140727489565,0.545063741067529
70,0.901371496720334,0.540262912889087
71,0.901371496720334,0.540590009009047
72,0.901377459749553,0.540881773837146
73,0.90752534287418,0.571869856627314
74,0.90830053667263,0.576791061041684
75,0.90830053667263,0.576791061041684
76,0.909069767441861,0.58131674202106
77,0.909838998211091,0.585946181607331
78,0.912140727489565,0.597500599560617
79,0.912140727489565,0.599312898976917
80,0.912140727489565,0.601659291592272
81,0.912140727489565,0.601659291592272
82,0.912915921288014,0.60594044125249
83,0.912146690518784,0.603754498261005
84,0.912146690518784,0.603754498261005
85,0.912146690518784,0.603754498261005
86,0.913691115086464,0.615097201410269
87,0.914460345855695,0.619511431971926
88,0.914460345855695,0.619511431971926
89,0.913691115086464,0.615097201410269
90,0.913691115086464,0.615097201410269
91,0.912921884317233,0.6125613660075
92,0.912921884317233,0.6125613660075
93,0.912921884317233,0.6125613660075
94,0.918324388789505,0.643517609229181
95,0.919093619558736,0.647693183222384
96,0.919093619558736,0.647693183222384
97,0.917513416815742,0.654395836896601
98,0.924460345855695,0.691188181570745
99,0.924460345855695,0.691188181570745
100,0.927561121049493,0.700159349192522
101,0.929093619558736,0.708901742564766
102,0.929093619558736,0.708901742564766
103,0.928342277877162,0.705107316472388
104,0.928342277877162,0.705107316472388
105,0.929105545617174,0.711027368071567
106,0.929105545617174,0.711906765308101
107,0.928330351818724,0.709985670324168
108,0.929099582587955,0.713601530017901
109,0.922176505664878,0.692483662021141
110,0.912945736434108,0.664137089480175
111,0.930655933214073,0.726107073240692
112,0.928342277877162,0.714128162266516
113,0.925265354800239,0.704751964918879
114,0.932194394752534,0.727483481176296
115,0.929117471675611,0.71925849802038
116,0.926827668455575,0.715418543915556
117,0.93144305307096,0.732708204595467
118,0.934519976147883,0.745346757032925
119,0.926833631484794,0.721653172765356
120,0.936064400715564,0.750300608026298
121,0.936064400715564,0.755846341661588
122,0.934525939177102,0.743046478963873
123,0.925289206917114,0.716733330151243
124,0.92989862850328,0.727889063191222
125,0.92989862850328,0.729029855257701
126,0.927590936195587,0.722738207098425
127,0.926052474657126,0.716561527938404
128,0.924508050089445,0.713033145151295
129,0.923703041144902,0.711967920500368
130,0.930661896243292,0.73378279268691
131,0.925277280858676,0.71470023319702
132,0.941472868217054,0.779155061537293
133,0.942242098986285,0.784943962057288
134,0.938395945140131,0.771542571942215
135,0.937620751341682,0.774623879943975
136,0.933714967203339,0.761052373945034
137,0.935289206917114,0.760382647830787
138,0.936064400715564,0.770705829886107
139,0.934519976147883,0.764025673000045
140,0.931449016100179,0.751395850664363
141,0.939892665474061,0.777780793014051
142,0.940691711389386,0.785000597841054
143,0.934502087060227,0.760166145710063
144,0.939922480620155,0.781551885242977
145,0.934525939177102,0.762592145403393
146,0.936827668455575,0.770504324988
147,0.930673822301729,0.743361699958451
148,0.93298747763864,0.758461403525647
149,0.938372093023256,0.770546134316652
150,0.939904591532499,0.781285649880802
