"","Annualized Return","Annualized Std Dev","Annualized Sharpe (Rf=30.48%)","rho1","rho2","rho3","rho4","rho5","rho6","Q(6) p-value","daily  Std Dev","Skewness","Kurtosis","Excess kurtosis","Sample skewness","Sample excess kurtosis","Semi Deviation","Gain Deviation","Loss Deviation","Downside Deviation (MAR=40%)","Downside Deviation (Rf=30.48%)","Downside Deviation (0%)","Maximum Drawdown","Historical VaR (95%)","Historical ES (95%)","Modified VaR (95%)","Modified ES (95%)","daily downside risk","Annualised downside risk","Downside potential","Omega","Sortino ratio","Upside potential","Upside potential ratio","Omega-sharpe ratio","Sterling ratio","Calmar ratio","Burke ratio","Pain index","Ulcer index","Pain ratio","Martin ratio","Minimum","Quartile 1","Median","Arithmetic Mean","Geometric Mean","Quartile 3","Maximum","SE Mean","LCL Mean (0.95)","UCL Mean (0.95)","StdDev Sharpe (Rf=0.1%, p=95%):","VaR Sharpe (Rf=0.1%, p=95%):","ES Sharpe (Rf=0.1%, p=95%):","Alpha","Beta","Beta+","Beta-","R-squared","Annualized Alpha","Correlation","Correlation p-value","Tracking Error","Active Premium","Information Ratio","Treynor Ratio","Beta CoVariance","Beta CoSkewness","Beta CoKurtosis","Specific Risk","Systematic Risk","Total Risk","Up Capture","Down Capture","Up Number","Down Number","Up Percent","Down Percent","Direction"
"2014//4",-0.0398,0.2492,-1.383,0.2025,0.0455,-0.1791,-0.1919,-0.1523,-0.0836,0.1429,0.0157,-0.912,6.7489,3.7489,-0.9578,4.1731,0.0121,0.0086,0.0141,0.0129,0.0127,0.0122,0.1176,-0.025,-0.0395,-0.0284,-0.05,0.0129,0.2049,0.0062,0.7185,-0.1352,0.0045,0.698,-0.2815,-0.3136,-0.5801,-0.5318,0.0407,0.0523,-1.7175,-1.3358,-0.0625,-0.0085,0,-2e-04,-3e-04,0.0087,0.0455,0.002,-0.0041,0.0038,-0.0871200842843142,-0.0481804622518014,-0.0273729280365141,-1e-04,0.7954,1.5473,1.254,0.1493,-0.0186,0.3864,0.0019,0.2312,0.0378,0.1635,-0.3939,0.7954,1.8421,1.2494,0.228,0.0963,0.2475,0.4001,0.3971,0.4643,0.3438,0.4286,0.6875,"Up"
"2015//1",0.2487,0.1444,-0.3883,-0.1473,-0.1776,0.1231,0.0435,-0.1747,-0.0762,0.2951,0.0091,0.4575,2.871,-0.129,0.4802,-0.0382,0.0059,0.0053,0.0027,0.0063,0.006,0.0053,0.0333,-0.0087,-0.0129,-0.0127,-0.0151,0.0063,0.0993,0.0039,0.8462,-0.096,0.0033,1.3748,-0.1538,2.0188,8.0753,5.0534,0.0087,0.0119,30.7522,22.4892,-0.0169,-0.0084,0,0.001,9e-04,0.0084,0.0261,0.0011,-0.0013,0.0033,-0.0244637192339629,-0.0175627074048157,-0.0147049795007201,2e-04,0.5258,1.6614,0.7889,0.0562,0.0492,0.2371,0.0613,0.1437,0.1589,1.1058,-0.1221,0.5258,-2.3329,0.7909,0.1392,0.0342,0.1433,0.6207,0.0931,0.3784,0.3077,0.3514,0.6923,"Down"
"2015//2",-0.3729,0.2044,-3.3146,0.2577,-0.2494,-0.0075,0.1349,-0.0077,-0.213,0.0479,0.0129,0.0884,3.7683,0.7683,0.0929,0.9404,0.0089,0.008,0.0079,0.0106,0.0104,0.0097,0.1538,-0.0242,-0.0291,-0.022,-0.0283,0.0106,0.1682,0.0065,0.5272,-0.2894,0.0034,1.0566,-0.4728,-1.2822,-2.1156,-2.9594,0.0766,0.0926,-4.267,-3.5325,-0.0339,-0.0086,0,-0.0015,-0.0016,0.0078,0.0339,0.0016,-0.0048,0.0018,-0.208798152919464,-0.122407628388473,-0.0950319701724345,-0.0025,0.09,-0.5491,0.3005,0.001,-0.4654,0.0312,0.8114,0.2143,-0.0824,-0.3847,-5.587,0.09,-1.0373,-0.1783,0.2027,0.0064,0.2028,-0.8803,0.1734,0.1739,0.3421,0.1739,0.6842,"Down"
"2015//3",-0.5643,0.2684,-3.2382,0.2989,0.0286,-0.173,-0.031,0.0672,0.06,0.1721,0.0169,1.1191,7.0255,4.0255,1.1718,4.4447,0.0105,0.0151,0.0085,0.0128,0.0126,0.0118,0.2321,-0.0245,-0.0329,-0.0227,-0.0251,0.0128,0.2033,0.0083,0.5405,-0.2987,0.0045,0.9679,-0.4595,-1.3587,-1.944,-2.0793,0.1271,0.1494,-3.563,-3.0313,-0.0408,-0.0108,-0.0026,-0.0022,-0.0024,0.0054,0.0707,0.0021,-0.0064,0.0019,-0.203985715192927,-0.151647433538105,-0.137568899027378,-2e-04,0.9021,1.3679,0.8814,0.1823,-0.044,0.4269,4e-04,0.243,0.0094,0.0387,-0.6605,0.9021,2.0376,0.9024,0.2409,0.1146,0.2667,0.7664,0.8546,0.4762,0.5778,0.381,0.5333,"Up"
"2015//4",-0.2366,0.3213,-1.6848,0.1603,-0.0817,-0.1609,-0.0562,-0.0257,-0.0973,0.5624,0.0202,1.5324,9.6727,6.6727,1.6081,7.3358,0.0122,0.0203,0.0111,0.0136,0.0134,0.0127,0.1755,-0.0312,-0.0385,-0.0216,-0.0276,0.0136,0.2166,0.0081,0.6873,-0.1851,0.0056,0.9968,-0.3127,-0.9045,-1.4197,-1.6784,0.1253,0.1301,-2.0023,-1.9282,-0.0473,-0.012,0,-9e-04,-0.0011,0.0063,0.0938,0.0026,-0.006,0.0042,-0.106134669379842,-0.0993145505494394,-0.0778043684606044,-2e-04,1.1644,4.5169,1.8772,0.15,-0.0416,0.3873,0.0017,0.2968,-0.1279,-0.431,-0.3837,1.1644,1.2506,1.7566,0.2939,0.1245,0.3191,0.7172,0.9202,0.3333,0.5152,0.2667,0.5758,"Up"
"2016//1",-0.1979,0.1838,-2.7354,0.2125,-0.0393,-0.0107,0.1155,0.1725,0.0451,0.404,0.0116,0.1404,4.217,1.217,0.1475,1.4245,0.008,0.0085,0.0079,0.0093,0.009,0.0084,0.1429,-0.0231,-0.0263,-0.0189,-0.0249,0.0093,0.1469,0.0054,0.5601,-0.2564,0.003,1.0141,-0.4399,-0.7953,-1.3519,-2.0909,0.0829,0.0896,-2.3483,-2.1733,-0.0305,-0.0063,0,-8e-04,-9e-04,0.0061,0.0316,0.0015,-0.0037,0.0022,-0.172314359713635,-0.10538761448227,-0.0802256196563776,-9e-04,0.7954,1.8428,0.7979,0.1716,-0.1948,0.4143,8e-04,0.1684,-0.1354,-0.8042,-0.5097,0.7954,-3.812,1.0801,0.1659,0.0761,0.1825,0.557,0.8295,0.3871,0.5484,0.3548,0.5806,"Down"
"2016//2",-0.8069,0.1932,-5.7528,0.0529,-0.0667,0.1441,0.1358,-0.0902,-0.0052,0.7095,0.0122,-0.8951,7.266,4.266,-0.9393,4.7267,0.0091,0.0065,0.0096,0.0117,0.0115,0.0108,0.2105,-0.0145,-0.0314,-0.0249,-0.0431,0.0117,0.186,0.0071,0.3302,-0.4087,0.0024,0.6379,-0.6698,-1.8117,-2.6722,-4.6669,0.0818,0.1129,-6.8974,-4.9968,-0.0542,-0.0073,-0.0058,-0.0032,-0.0033,0.0059,0.0309,0.0015,-0.0063,-1e-04,-0.362389596604414,-0.177047150541431,-0.102382744494264,-0.0037,0.2567,-0.4261,0.2703,0.0133,-0.611,0.1154,0.3678,0.2025,-0.2612,-1.2898,-2.6409,0.2567,0.8021,0.2273,0.1904,0.0223,0.1917,-0.8716,0.6265,0.2414,0.5882,0.2069,0.5,"Up"
"2016//3",-0.632,0.4517,-2.0739,0.2751,-0.1255,-0.2506,-0.1023,0.1657,-0.0471,0.0377,0.0285,-0.7473,7.3953,4.3953,-0.7836,4.859,0.0216,0.0219,0.028,0.0233,0.0232,0.0226,0.2741,-0.0437,-0.0804,-0.0521,-0.0944,0.0233,0.3703,0.0104,0.6064,-0.1755,0.0063,0.7177,-0.3936,-1.392,-1.8999,-1.7813,0.1108,0.1452,-4.7154,-3.5961,-0.1,-0.0078,0,-0.0025,-0.0029,0.0078,0.0882,0.0036,-0.0096,0.0046,-0.130644155194306,-0.0712954342334746,-0.0393988403338884,0.0028,2.2041,4.9497,2.4703,0.5492,1.0358,0.7411,0,0.3541,-0.1551,-0.4379,-0.2936,2.2041,2.2884,2.3707,0.3009,0.3347,0.4501,0.9971,1.1842,0.44,0.4615,0.4,0.5897,"Up"
"2016//4",0.1301,0.2064,-0.8463,0.1961,0.0406,0.0201,0.0693,0.0995,-0.0489,0.7082,0.013,0.5025,5.3749,2.3749,0.5282,2.687,0.0086,0.0109,0.0082,0.0092,0.009,0.0084,0.0894,-0.0177,-0.0261,-0.0182,-0.0224,0.0092,0.1454,0.0049,0.783,-0.1169,0.0039,1.2007,-0.217,0.6091,1.2902,1.2315,0.0485,0.0583,2.348,1.9533,-0.0345,-0.0081,0,5e-04,4e-04,0.0087,0.0446,0.0017,-0.0028,0.0038,-0.0533117662640077,-0.0381423743736368,-0.0309275927084381,0.001,1.1404,1.3536,0.7486,0.2037,0.2873,0.4513,3e-04,0.1846,0.186,1.0078,-0.1558,1.1404,1.8558,1.6375,0.1827,0.0932,0.2051,1.1166,0.7245,0.44,0.3056,0.4,0.6944,"Up"
"2017//1",0.7998,0.3276,1.5112,0.565,0.1278,-0.0139,0.0155,-0.0373,-0.0571,8e-04,0.0206,0.3922,2.8408,-0.1592,0.4112,-0.0725,0.0135,0.0139,0.009,0.0126,0.0123,0.0117,0.2137,-0.0278,-0.0338,-0.0282,-0.034,0.0126,0.1995,0.0073,1.2184,0.1263,0.0089,1.2694,0.2184,3.5362,5.1912,6.2648,0.0922,0.1155,12.0195,9.5928,-0.04,-0.0099,0,0.0032,0.003,0.0159,0.0556,0.0026,-0.002,0.0083,0.0951960970574192,0.0695948730948183,0.0577182914014872,0.0038,1.1789,-0.8375,1.7438,0.1548,1.5965,0.3934,0.0013,0.3018,1.1972,3.9672,0.4717,1.1789,6.6772,0.8759,0.2988,0.1289,0.3254,2.0394,0.7637,0.5758,0.5161,0.5758,0.5484,"Down"
