"Eigen","component","component_contribution","group_contribution","train_error","y_explained"
0.104911161041784,1,0.19041530366221,0.19041530366221,0.780692224708626,0.18899163338631
0.0744021778339028,2,0.135041049443059,0.325456353105269,0.779966637787643,0.206952723628032
0.048222150720167,3,0.0875239143428058,0.412980267448075,0.795262777525365,0.151760224845257
0.0277671976361698,4,0.0503978729930748,0.46337814044115,0.81440703262131,0.211945734547684
0.0256815815399934,5,0.046612449036914,0.509990589478064,0.8184449973614,0.148795912135966
0.0226126306147283,6,0.041042257871781,0.551032847349845,0.8063210446439,0.164285718658617
0.0215259773628402,7,0.0390699662025335,0.590102813552378,0.806704384509619,0.167540841700739
0.01933829824237,8,0.0350992963528891,0.625202109905268,0.794140171556991,0.283327065275519
0.0161832773875082,9,0.0293728869968831,0.654574996902151,0.828796458212736,0.243840787152098
0.01565313614,10,0.0284106728184705,0.682985669720621,0.805982279485822,0.320541733480073
0.0153723538205985,11,0.0279010487700767,0.710886718490698,0.859303367641748,0.300761514376447
0.0146999779663524,12,0.0266806766839227,0.737567395174621,0.841874565803514,0.304618684119725
0.0141462983335215,13,0.0256757399891978,0.763243135163818,0.872217652759586,0.298010884231809
0.0127782936219197,14,0.0231927912735007,0.786435926437319,0.890404538178016,0.300919967309858
0.011719514687396,15,0.0212710919011318,0.807707018338451,0.932558658071492,0.27254792625538
0.0106385796618347,16,0.019309178896953,0.827016197235404,0.991364742897366,0.297505099899418
0.0102041147149886,17,0.0185206186144933,0.845536815849897,1.00390600733563,0.250320003085009
0.00930845088054826,18,0.0168949755530626,0.86243179140296,1.37418505181872,0.256951798215627
0.0083460025203478,19,0.0151481175929856,0.877579908995946,1.43199952208938,0.248242880305719
0.00819485122903222,20,0.0148737757713053,0.892453684767251,1.42843454931433,0.24088066262706
0.0077205412373125,21,0.0140128961450913,0.906466580912342,1.56111297800589,0.239055933183916
0.00724973894580137,22,0.0131583830464587,0.919624963958801,1.42488511482775,0.24249921966857
0.00648293355577086,23,0.0117666199609818,0.931391583919783,1.65688968106545,0.223989226250353
0.00628262107519828,24,0.0114030498561732,0.942794633775956,1.59199628442395,0.207847997607061
0.00613847061818578,25,0.0111414146519441,0.9539360484279,1.717286264519,0.228738954496418
0.00546454843201981,26,0.00991823595056276,0.963854284378463,1.78981921247146,0.217626929796738
0.00541349464843487,27,0.00982557258083265,0.973679856959295,2.14456551331226,0.246720553700565
0.00505264543632469,28,0.00917062594200112,0.982850482901296,2.30561517041713,0.267516552454295
0.00476335810839093,29,0.00864556517775892,0.991496048079055,2.46317035986643,0.271302713078465
0.00468533490907049,30,0.0085039519209446,1,2.70739049744083,0.261247755936138
