Date,Price,Open,High,Low
06/30/22,170.32,166.33,173.76,166.33
06/29/22,166.33,160.3,169.66,160.3
06/28/22,160.3,158.45,162.98,158.45
06/27/22,158.45,158.99,162.31,158.39
06/24/22,158.99,160.16,162.1,158.44
06/23/22,160.16,160.58,161.5,159.91
06/22/22,160.58,162.67,162.67,159.95
06/21/22,162.67,164.12,166.23,161.53
06/20/22,164.12,165.18,165.86,163.85
06/17/22,165.18,167.71,170.03,164.36
06/16/22,167.71,170.58,170.58,166.23
06/15/22,170.58,173.13,173.7,169.77
06/14/22,173.13,174.35,176.33,172.88
06/13/22,174.35,175.71,178.19,173.68
06/10/22,175.71,176.46,180.95,175.71
06/09/22,176.46,176.96,180.78,176.42
06/08/22,176.96,176.7,178.68,176.63
06/07/22,176.7,176.41,178.72,175.82
06/06/22,176.41,176.03,179.05,176.03
06/03/22,176.03,174.97,177.96,174.97
06/02/22,174.97,175.3,177.39,174.88
05/31/22,175.3,175.93,176.67,174.75
05/30/22,175.93,175.56,177.58,175.3
05/27/22,175.56,175.14,176.93,175.14
05/26/22,175.14,173.31,176.88,173.31
05/25/22,173.31,172.35,175.69,172.35
05/24/22,172.35,173.55,174.8,170.98
05/23/22,173.55,177.66,177.89,170.88
05/20/22,177.66,178.75,180.64,176.49
05/19/22,178.75,182.85,183.7,177.07
05/18/22,182.85,186.78,187.33,178.97
05/17/22,186.78,186.05,187.04,185.46
05/16/22,186.05,185.84,187.86,185.25
05/13/22,185.84,189.66,189.78,185.06
05/12/22,189.66,191.41,193.74,187.68
05/11/22,191.41,191.05,193.94,191.05
05/10/22,191.05,192.25,193.59,190.69
05/09/22,192.25,192.03,194.28,191.93
05/06/22,192.03,195.84,196.52,190.53
05/05/22,195.84,198.25,198.51,193.19
05/04/22,198.25,199.05,199.48,195.64
04/28/22,199.05,201.02,201.02,198.07
04/27/22,201.02,203.38,203.67,199.28
04/26/22,203.38,206.85,206.85,200.25
04/25/22,206.85,208.33,211.02,205.99
04/22/22,208.33,210.36,210.96,207.6
04/21/22,210.36,210.73,212.21,209.74
04/20/22,210.73,210.79,212.39,210.05
04/19/22,210.79,212.21,213.08,210.38
04/14/22,212.21,212.23,214.13,211.19
04/13/22,212.23,210.1,213.06,210.1
04/12/22,210.1,208.58,211.61,208.16
04/11/22,208.58,210.62,211.18,207.94
04/08/22,210.62,210.88,211.21,209.95
04/07/22,210.88,211.42,212.33,210.32
04/06/22,211.42,212.58,213.36,210.94
04/05/22,212.58,212.13,213.63,212.1
04/04/22,212.13,210.03,213.85,210.03
04/01/22,210.03,210.29,212.38,208.59
03/31/22,210.29,212.58,212.58,208.89
03/30/22,212.58,213.89,214.26,210.81
03/29/22,213.89,214.09,215.22,213.26
03/28/22,214.09,215.57,215.76,213.08
03/25/22,215.57,214.44,216.41,213.94
03/24/22,214.44,215.24,215.45,213.05
03/23/22,215.24,216.21,216.57,213.42
03/22/22,216.21,214.62,218.63,212.5
03/21/22,214.62,212.47,216.03,212.47
03/18/22,212.47,213.33,215.19,211.43
03/17/22,213.33,215.61,215.61,212.23
03/16/22,215.61,215.31,216.11,213.54
