"","Close","Volume","SD.Short","SD.Mid","SD.Long","ATR.Short","ATR.Mid","ATR.Long","RSI.Short","RSI.Mid","RSI.Long","MACD.Short","MACD.Long","VWMA.Short","VWMA.Mid","VWMA.Long","DX.Short","DX.Long","CTI.Short","CTI.Long","SNR.Short","SNR.Mid","SNR.Long","Hurst.Mid","Hurst.Long","SAR"
"1998-09-10",4.55,180714.378911213,0.0313049516849968,0.0565053726901888,0.108803717068519,0.0195400100916675,0.0298961441933532,0.0577361068020011,36.5465776896859,43.7758022660087,44.0195036575684,-0.569485198229647,-11.7260211977537,4.65708755053674,4.69829768539845,4.7248455753506,9.15313789228472,19.181583629607,-0.262977193953051,-0.0503567692117773,0,1.33796518177395,1.21241288817855,0.361785053021548,0.438733551852706,4.84289862869976
"1998-09-11",4.42,80669.3929172978,0.0606630035524124,0.064457442586267,0.110253397099321,0.0463600067277785,0.0362692219939575,0.0590568534644386,10.2692032389845,32.8033629110041,41.6902067028511,-1.09220932004215,-11.7620847263432,4.67108920574818,4.70260400217872,4.72885944589658,18.3385223355893,20.776897659744,-0.471554297361365,-0.0847809902584213,2.15703161104335,2.75715867345213,2.37059700588861,0.470489801644838,0.435538910754208,4.83132471097777
"1998-09-14",4.38,186689.88949768,0.101390334845093,0.0876437594551294,0.115351818306809,0.0742400044851856,0.0447902018126886,0.0612738267936749,4.27514639445052,24.1479853632248,38.926115187878,-2.05935440786779,-11.9694820104802,4.61742039523278,4.70107084256415,4.72750950056287,28.2420532503162,22.7901615514162,-0.655560193799865,-0.12307536389612,4.0409480317295,5.13505165620495,4.40644911748635,0.498660846746466,0.424627988391224,4.80881873409955
"1998-09-15",4.35,285614.467256633,0.126293309403151,0.109726933794762,0.121338118776007,0.0628266696567904,0.044354728920626,0.0606090197063726,3.36785730468343,22.1682448033532,38.1233032595449,-2.80314713102986,-12.2001523976496,4.57096466815342,4.69716380454055,4.72513377301613,30.9476149901738,23.3987868574133,-0.81760052161493,-0.201747974687659,4.29753799580587,6.08728779479574,3.95980666182539,0.456156883678406,0.412416396417968,4.76993686068959
"1998-09-16",4.25,261966.384110691,0.126293309403151,0.129263481382205,0.125835456895032,0.0518844464378604,0.0430497535642055,0.0596524878405484,2.71875000261035,20.7638500168994,37.5241564661814,-3.33766889027372,-12.4371237756528,4.44238638239134,4.69116180362832,4.72292031252095,32.9387898217476,23.8562140224,-0.854901883269831,-0.288958668065612,5.78207961338273,8.59470657475827,2.17928882274771,0.424000777942134,0.403632193244153,4.72314443740684
"1998-09-17",4.28,155467.846683392,0.109316055545377,0.155797487601236,0.136793055341853,0.0679229642919068,0.0482270486947322,0.0609133475955313,1.38451789080881,16.849816751548,35.599077750504,-4.10653320851673,-12.7827930187846,4.37290152249881,4.68726784761262,4.72116841201638,39.086486164482,25.3657793493109,-0.913798211874938,-0.364599732488707,5.88902448781467,9.12351080791019,6.07420236459216,0.426037048452912,0.417056501924989,4.67090421616988
"1998-09-18",4.28,294682.304571595,0.0702139587261677,0.172031281762248,0.145099679705681,0.0552819761946046,0.0465700442679384,0.0599473054831709,19.2231497374787,21.7193252651433,36.6062266810902,-4.29955075449878,-13.0347180020513,4.33772579933153,4.67967871719867,4.71784278009075,35.1828164457671,24.6126842679656,-0.935919335357435,-0.377495675640353,4.8840511607172,9.44813359997001,7.84021894248347,0.3934804404781,0.402827731314835,4.6035595415827
"1998-09-22",4.22,4786159.89811267,0.0544977063737547,0.183183488546841,0.152973765274518,0.0368546507964031,0.042336403879944,0.0580739521868218,19.2231497374787,21.7193252651433,36.6062266810902,-4.29444643743849,-13.2460999983497,4.28730218791083,4.57038836045655,4.67033437288255,35.1828164457671,24.6126842679657,-0.940840408251491,-0.410669779181987,3.7987064583356,11.1015569799648,7.0599637972123,0.372849293736389,0.390072779110255,4.54699001492947
"1998-09-23",4.25,104810.455686622,0.0482700735445886,0.193698341807687,0.155720580301848,0.0445697671976022,0.0439421853454037,0.0581341411809837,10.5970558867964,19.0233044375589,35.4255663387732,-4.49633664721772,-13.5099568593597,4.28131802063615,4.56751615065046,4.66860155056733,38.9603535079346,25.5364088452887,-0.944790752862763,-0.410689194866626,3.58987740031561,12.9715897268096,13.7612766568518,0.371364530427441,0.3950024767323,4.49947161254075
"1998-09-24",4.18,183881.39952204,0.0250998007960225,0.195511539057832,0.156150406047361,0.0397131781317349,0.042674713950367,0.0572549492690779,33.1092164136222,24.1983955608168,36.4829165299836,-4.3259797945299,-13.6869077120475,4.27701916759274,4.56164892622562,4.66496933477225,34.8348216390185,24.7597370501138,-0.941498799020036,-0.410546838881669,2.51805583698902,13.3568557873157,13.4486190247287,0.368304151851576,0.37223622978647,4.44916672228342
