"component","train_error","y_explained"
1,0.779059297743056,0.160517152078795
2,0.786799123275958,0.139827234019333
3,0.801290895811153,0.171800065370022
4,0.806711241739197,0.222439739290635
5,0.931985268268799,0.314692306005813
6,0.89101903712986,0.253200138758762
7,0.920321848199366,0.249219995571775
8,0.92677303793865,0.248800981073794
9,0.93215880081549,0.196967236493903
10,0.978470640312752,0.199863309291806
11,1.01059228147604,0.239671486576296
12,1.03348732577555,0.250038780551323
13,1.05186010596218,0.248023753515692
14,1.07027656864509,0.263133645359447
15,1.08081203983342,0.270240277827279
16,1.12858641981368,0.387959166643915
17,1.14298202955,0.372354370129011
18,1.15269481947391,0.375745839861023
19,1.27793682576829,0.389241377933934
20,1.27519444398111,0.391931175914726
21,1.28991232108672,0.369182830614934
22,1.31365612346973,0.43426791415612
23,1.35348188481585,0.425404085746517
24,1.36239647190932,0.419291300663766
25,1.42765825104029,0.397608264241728
26,1.35294867624738,0.395031937531069
27,1.40565952328655,0.35825731342474
28,1.45059019452512,0.356552565842842
29,1.49458268901542,0.354560336343935
30,1.46578522493423,0.357894868764951
