"alpha","lambda","deviance","nvars","accuracy"
1e-06,2.61017284644747,0.217429362122677,79,0.78125
0.00200300200400802,1.30313042184906,0.268533441015199,74,0.78125
0.00400500400801603,0.902569084773056,0.295102970043173,74,0.78125
0.00600700601202405,1.05159759604733,0.279210584328456,73,0.78125
0.00800900801603206,1.04265599371289,0.276583448780703,69,0.78125
0.0100110100200401,1.05257239858265,0.272346940729991,68,0.78125
0.0120130120240481,0.695132927103862,0.3062194122586,69,0.78125
0.0140150140280561,1.25417621099488,0.249335461799577,52,0.78125
0.0160170160320641,1.04753481373348,0.262936184721867,53,0.78125
0.0180190180360721,0.809865493159607,0.284236566310045,53,0.78125
0.0200210200400802,0.838038315336869,0.27817427350988,52,0.78125
0.0220230220440882,0.917658819247833,0.266556842235646,49,0.78125
0.0240250240480962,0.636329714790879,0.299577153921554,51,0.78125
0.0260270260521042,0.776485963659035,0.277551622086061,49,0.78125
0.0280290280561122,0.598607339224366,0.300929039284565,50,0.78125
0.0300310300601202,0.889610804394356,0.258531635629422,46,0.78125
0.0320330320641283,0.434854477561329,0.328365209053691,50,0.765625
0.0340350340681363,0.861485809819159,0.256404451094524,45,0.78125
0.0360370360721443,0.615478847967367,0.28905121431483,46,0.78125
0.0380390380761523,0.531286316041648,0.30215200263837,46,0.78125
0.0400410400801603,0.698983538245742,0.271360914638184,44,0.78125
0.0420430420841683,0.635442334431712,0.279322997866036,43,0.78125
0.0440450440881763,0.503576143582427,0.301692084315245,45,0.78125
0.0460470460921844,0.553817253802971,0.289789769318634,43,0.78125
0.0480490480961924,0.582488706420136,0.282333624592767,42,0.78125
0.0500510501002004,0.642932181578762,0.269152055542604,41,0.78125
0.0520530521042084,0.563284912241304,0.281978099000853,40,0.78125
0.0540550541082164,0.653350296178422,0.262777596415181,37,0.796875
0.0560570561122244,0.434246123747081,0.306501360460954,40,0.78125
0.0580590581162325,0.60829243114555,0.266829573553936,37,0.78125
0.0600610601202405,0.51142663773687,0.285095031190698,38,0.78125
0.0620630621242485,0.624529906083782,0.259260314565375,36,0.8125
0.0640650641282565,0.577514846969542,0.266689665628522,37,0.796875
0.0660670661322645,0.534561131272885,0.274051492326232,37,0.78125
0.0680690681362725,0.495256943831106,0.281302687495386,37,0.78125
0.0700710701402806,0.438366732157969,0.293927383753658,37,0.78125
0.0720730721442886,0.780242434526403,0.219381250404492,29,0.8125
0.0740750741482966,0.414671553007321,0.297071658456335,37,0.765625
0.0760770761523046,0.486329490792387,0.276009405663272,35,0.765625
0.0780790781563126,0.496422848155708,0.27153505486034,33,0.78125
0.0800810801603206,0.441014101468664,0.284551010225047,35,0.765625
0.0820830821643286,0.518247032498806,0.262237765839127,32,0.796875
0.0840850841683367,0.505907964186087,0.263463035755572,31,0.796875
0.0860870861723447,0.471683246500434,0.270716442954119,32,0.796875
0.0880890881763527,0.365305527590513,0.30114763376896,35,0.765625
0.0900910901803607,0.450719779350455,0.27301747964258,32,0.78125
0.0920930921843687,0.420881061112939,0.28011680087261,33,0.78125
0.0940950941883767,0.473615076128877,0.263023671271261,30,0.796875
0.0960970961923848,0.613047825533751,0.226882740262941,25,0.796875
0.0980990981963928,0.377154595570833,0.28940738740803,33,0.765625
0.100101100200401,0.266889462304508,0.330022507595358,34,0.765625
0.102103102204409,0.501833469364112,0.248571775757472,26,0.796875
0.104105104208417,0.281645161487101,0.321399281272517,33,0.765625
0.106107106212425,0.505890017855193,0.24414887040445,26,0.796875
0.108109108216433,0.39348501205704,0.276061546450014,29,0.78125
0.110111110220441,0.368771472799083,0.283132161592763,29,0.78125
0.112113112224449,0.478789008629988,0.246684182656813,25,0.796875
0.114115114228457,0.449009356547614,0.253787996333686,25,0.796875
0.116117116232465,0.441267882587591,0.254588744434942,25,0.796875
0.118119118236473,0.414072457479631,0.261532269654562,25,0.796875
0.120121120240481,0.407171307307045,0.262308999422236,25,0.796875
0.122123122244489,0.302960856438418,0.300576084175827,31,0.765625
0.124125124248497,0.432454961727995,0.251282516054839,24,0.796875
0.126127126252505,0.387782351162005,0.264542314789618,25,0.796875
0.128129128256513,0.364373386136688,0.271682777174983,26,0.796875
0.130131130260521,0.412495655335527,0.253410990791258,22,0.796875
0.132133132264529,0.337272373958134,0.279533609501755,26,0.78125
0.134135134268537,0.275830235738634,0.305187925476251,31,0.765625
0.136137136272545,0.298271562039043,0.293473194897444,27,0.78125
0.138139138276553,0.407085710648318,0.249706727778732,22,0.796875
0.140141140280561,0.383031890199427,0.256739649233421,22,0.796875
0.142143142284569,0.360472923199471,0.263661108062198,23,0.796875
0.144145144288577,0.256675491142825,0.308735615820006,30,0.78125
0.146147146292585,0.350597020276383,0.2648848163129,23,0.796875
0.148149148296593,0.362327603456096,0.259190592453227,22,0.796875
0.150151150300601,0.270433068319768,0.298267414596687,26,0.78125
0.152153152304609,0.27958220454648,0.29263321169205,25,0.78125
0.154155154308617,0.460314495722066,0.220471580565451,20,0.78125
0.156157156312625,0.360114583292462,0.254985521223799,22,0.796875
0.158159158316633,0.20346232980582,0.331833566758191,31,0.78125
0.160161160320641,0.38534473952635,0.24246686856275,22,0.78125
0.162163162324649,0.239019995688856,0.308399885705546,26,0.78125
0.164165164328657,0.236105135448414,0.309014817254985,26,0.78125
0.166167166332665,0.338421064249696,0.257586328946296,22,0.796875
0.168169168336673,0.191351548857082,0.334836079227721,29,0.78125
0.170171170340681,0.207537419768811,0.32318242180747,29,0.765625
0.172173172344689,0.235842993043315,0.304989423646263,26,0.78125
0.174175174348697,0.354340168378061,0.245779870391283,22,0.78125
0.176177176352705,0.264999390341578,0.286455011789879,24,0.78125
0.178179178356713,0.238744583639597,0.300146663290113,25,0.78125
0.180181180360721,0.284373506209124,0.273897304933313,22,0.796875
0.182183182364729,0.233497478734648,0.301186687898885,25,0.78125
0.184185184368737,0.278191507029671,0.274793606566894,22,0.796875
0.186187186372745,0.288304082048388,0.268834117641621,22,0.796875
0.188189188376753,0.313047292296663,0.255806394763034,21,0.796875
0.190191190380762,0.324501153194519,0.249241515045403,20,0.78125
0.19219319238477,0.352429846677863,0.235572484975563,18,0.78125
0.194195194388778,0.303365467133587,0.257025924963822,21,0.796875
0.196197196392786,0.345237437486563,0.236338335272514,18,0.78125
0.198199198396794,0.283727026791883,0.264692623296494,21,0.796875
0.200201200400802,0.268122897110019,0.271759817549434,21,0.796875
0.20220320240481,0.19168953754813,0.319055786073256,23,0.78125
0.204205204408818,0.364039002385904,0.223901265956195,16,0.78125
0.206207206412826,0.328478419852549,0.238184599919496,17,0.765625
0.208209208416834,0.195024209526034,0.313900430179257,22,0.78125
0.210211210420842,0.255355200842535,0.273707854228528,19,0.796875
0.21221321242485,0.174346004583603,0.32764515528567,24,0.765625
0.214215214428858,0.250582228715568,0.274455512819378,19,0.796875
0.216217216432866,0.24826203362503,0.27482201407442,19,0.796875
0.218219218436874,0.310397121802027,0.240241015230526,17,0.765625
0.220221220440882,0.202364036981374,0.303134232659284,21,0.78125
0.22222322244489,0.253053972735017,0.26915568210858,19,0.796875
0.224225224448898,0.30208295026205,0.241209065554558,17,0.765625
0.226227226452906,0.260411254580417,0.262854012507274,19,0.796875
0.228229228456914,0.258126955338549,0.263177986333697,19,0.796875
0.230231230460922,0.268066415153313,0.256507974295017,18,0.78125
0.23223323246493,0.291666341659014,0.242442552001435,17,0.765625
0.234235234468938,0.190256838593989,0.305822320582169,20,0.78125
0.236237236472946,0.227222967292516,0.278207959199583,19,0.796875
0.238239238476954,0.297851237991565,0.236446785892573,16,0.78125
0.240241240480962,0.223435933601168,0.278841727825739,19,0.78125
0.24224324248497,0.183967382289918,0.307275804173868,20,0.78125
0.244245244488978,0.334035516377674,0.215157934156832,16,0.78125
0.246247246492986,0.301886254379348,0.230484217157651,16,0.78125
0.248249248496994,0.237310349245881,0.266255745798241,18,0.796875
0.250251250501002,0.270666448975136,0.245010520596034,16,0.765625
0.25225325250501,0.26851831107053,0.245287945324187,16,0.765625
0.254255254509018,0.201524857808827,0.287765445486815,20,0.78125
0.256257256513026,0.303906906517967,0.224390377762722,16,0.78125
0.258259258517034,0.262273723364794,0.24609821164411,16,0.765625
0.260261260521042,0.260256240936853,0.246363533492097,16,0.765625
0.26226326252505,0.25826955964991,0.246625943462835,16,0.765625
0.264265264529058,0.222927958261315,0.268454083979894,18,0.796875
0.266267266533066,0.21119557805906,0.275757857360201,19,0.796875
0.268269268537074,0.209619497530651,0.276020833299261,19,0.796875
0.270271270541082,0.228353019107202,0.262126915956292,18,0.78125
0.27227327254509,0.248774390124819,0.247895578348101,16,0.765625
0.274275274549098,0.24695852528467,0.248141377119994,16,0.765625
0.276277276553106,0.213235473419491,0.26998449983398,18,0.796875
0.278279278557114,0.232342036982089,0.255700887743728,18,0.765625
0.280281280561122,0.253173711695862,0.241939487068519,16,0.78125
0.28228328256513,0.20869856452536,0.270714546963339,18,0.796875
0.284285284569138,0.286988426042942,0.219847520719179,16,0.765625
0.286287286573146,0.163076903918467,0.307162851883435,20,0.796875
0.288289288577154,0.22427463312624,0.25683324254499,18,0.765625
0.290291290581162,0.153517713563377,0.314878554083249,20,0.796875
0.29229329258517,0.159726020096625,0.307984749097127,20,0.796875
0.294295294589178,0.241117861628012,0.243512046251255,16,0.78125
0.296297296593186,0.250892126758287,0.236475207022122,16,0.78125
0.298299298597194,0.136124477927003,0.329819582225375,21,0.765625
