"Eigen","component","component_contribution","group_contribution","train_acc","train_kappa"
0.104575059351179,1,0.191948474885334,0.191948474885334,0.488095238095238,-0.0333589743589743
0.0752540782897806,2,0.13812954681782,0.330078021703154,0.714285714285714,0.424082699908787
0.0479814199212992,3,0.0880703337284061,0.418148355431561,0.683333333333333,0.36308138238573
0.0272616189095056,4,0.0500389500618134,0.468187305493374,0.704761904761905,0.412333333333333
0.0252697161974275,5,0.0463827944729421,0.514570099966316,0.714285714285714,0.429565217391304
0.0225968699938832,6,0.0414767608970921,0.556046860863408,0.714285714285714,0.429565217391304
0.0214269827750327,7,0.0393294222406339,0.595376283104042,0.7,0.401666666666667
0.0190987200943839,8,0.0350558748627434,0.630432157966785,0.685714285714286,0.371333333333333
0.0160086902832602,9,0.0293840969715772,0.659816254938363,0.671428571428571,0.338666666666667
0.0153636837962278,10,0.0282001816838865,0.688016436622249,0.657142857142857,0.310666666666667
0.0151681779553252,11,0.0278413289304168,0.715857765552666,0.657142857142857,0.312820512820513
0.0144399033677232,12,0.0265045742849471,0.742362339837613,0.64047619047619,0.284153846153846
0.0138917121590232,13,0.0254983643233333,0.767860704160946,0.64047619047619,0.284153846153846
0.0125219337760208,14,0.0229841236125989,0.790844827773545,0.609523809523809,0.218153846153846
0.0114157309294625,15,0.0209536782021148,0.81179850597566,0.669047619047619,0.340333333333333
0.0103708320746469,16,0.0190357568274039,0.830834262803064,0.669047619047619,0.332517482517483
0.00993639749255233,17,0.0182383481910822,0.849072610994146,0.671428571428571,0.337928853754941
0.00901570357802087,18,0.0165484061166813,0.865621017110828,0.683333333333333,0.370104793756968
0.00806251584990167,19,0.0147988213511831,0.880419838462011,0.638095238095238,0.284500805152979
0.00792818382126371,20,0.0145522536878675,0.894972092149878,0.638095238095238,0.280771460423634
0.00748972101703999,21,0.0137474512131009,0.908719543362979,0.595238095238095,0.201461538461538
0.00699939107531627,22,0.0128474461345628,0.921566989497542,0.638095238095238,0.281153846153846
0.00625064297655096,23,0.011473112172689,0.933040101670231,0.607142857142857,0.217666666666667
0.00609029834635261,24,0.0111787981420436,0.944218899812275,0.611904761904762,0.239282051282051
0.00593027028153372,25,0.0108850651700385,0.955103964982313,0.578571428571429,0.172615384615385
0.00529570107413067,26,0.00972030760426771,0.964824272586581,0.585714285714286,0.186461538461538
0.00521065049916032,27,0.00956419649847473,0.974388469085055,0.585714285714286,0.188435897435897
0.00486325692762841,28,0.00892655243062302,0.983315021515679,0.628571428571429,0.284037037037037
0.0045839164152403,29,0.00841382037329256,0.991728841888971,0.657142857142857,0.330190883190883
0.00450619287744038,30,0.00827115811102897,1,0.580952380952381,0.183307692307692
