"alpha","lambda","deviance","nvars","rmse"
1e-06,7.64374844006146,0.179358207427095,78,0.52860167541331
0.00200300200400802,7.31902591285588,0.170540415680676,66,0.534281497636341
0.00400500400801603,5.56352309687304,0.183970988127697,64,0.525630435551145
0.00600700601202405,5.38159418503114,0.177465392373339,59,0.529820898243196
0.00800900801603206,4.22855811694995,0.193390441916048,58,0.519563063527122
0.0100110100200401,28.7465721665376,2.18378337937056e-18,1,0.644132044208984
0.0120130120240481,5.16113694893741,0.152954530004716,51,0.545609130126022
0.0140150140280561,4.03087859217262,0.174464555182844,45,0.531753833637048
0.0160170160320641,3.87093326879526,0.171486198820153,43,0.533672288409331
0.0180190180360721,4.14452015203063,0.153866946296298,39,0.545021413554956
0.0200210200400802,3.24424104624069,0.179887467430922,37,0.528260762085127
0.0220230220440882,12.4734051174199,0.000720482193906577,1,0.643667958540607
0.0240250240480962,2.46338018427876,0.205233717688578,35,0.511934430093631
0.0260270260521042,11.0570535959389,2.76103177919461e-18,1,0.644132044208984
0.0280290280561122,7.07684627097972,0.0309564496950301,10,0.624192002985472
0.0300310300601202,9.58282887483018,3.16413461717818e-18,1,0.644132044208984
0.0320330320641283,8.98392076731576,3.36363797030113e-18,1,0.644132044208984
0.0340350340681363,1.99928701615732,0.208315691373464,30,0.509949232083787
0.0360370360721443,7.98573504837879,7.51723489893693e-18,1,0.644132044208984
0.0380390380761523,1.78884128380619,0.215610670591863,29,0.505250302207378
0.0400410400801603,7.18718148741608,0,0,0.644132044208984
0.0420430420841683,6.84494289030955,0,0,0.644132044208984
0.0440450440881763,6.53381618655859,4.53284183693554e-18,1,0.644132044208984
0.0460470460921844,3.41378309423744,0.077715547470302,12,0.594072969750118
0.0480490480961924,5.98934283619697,0,0,0.644132044208984
0.0500510501002004,5.74977390933624,0,0,0.644132044208984
0.0520530521042084,5.52863300743409,5.2867741242103e-18,1,0.644132044208984
0.0540550541082164,4.0273143900685,0.0303057568176445,8,0.624611135118735
0.0560570561122244,5.13373769441054,0,0,0.644132044208984
0.0580590581162325,4.95671530573028,0,0,0.644132044208984
0.0600610601202405,4.79149421313713,6.02120176319779e-18,1,0.644132044208984
0.0620630621242485,4.63693237412104,0,0,0.644132044208984
0.0640650641282565,1.01386014180211,0.255386409968251,23,0.479629473892941
0.0660670661322645,4.35591042327929,0,0,0.644132044208984
0.0680690681362725,1.04725767123232,0.244087135109503,22,0.486907698905786
0.0700710701402806,4.10700480847346,0,0,0.644132044208984
0.0720730721442886,2.50767196703746,0.0686278748480968,9,0.599926630893362
0.0740750741482966,3.88500754551902,2.17852298199055e-17,1,0.644132044208984
0.0760770761523046,3.7827718487088,7.43449432313232e-18,1,0.644132044208984
0.0780790781563126,3.05999842906676,0.020679427593181,5,0.630811762240317
0.0800810801603206,3.59363561811204,0,0,0.644132044208984
0.0820830821643286,3.50598703670604,0,0,0.644132044208984
0.0840850841683367,3.42251214763464,8.1147429853141e-18,1,0.644132044208984
0.0860870861723447,3.34291976644301,0,0,0.644132044208984
0.0880890881763527,2.05173678529481,0.0743102780051423,9,0.596266412931794
0.0900910901803607,2.20173962021079,0.0576061586018187,8,0.607026071509768
0.0920930921843687,2.05597923611022,0.0669185599735989,9,0.601027655377669
0.0940950941883767,2.10804956824823,0.0586466690538059,8,0.606355845385309
0.0960970961923848,1.9703143260561,0.0680126153506602,8,0.600322939251164
0.0980990981963928,2.1182870201271,0.0504116170084664,7,0.61166030629344
0.100101100200401,1.98156785770562,0.0601268499298011,8,0.605402413451855
0.102103102204409,2.81854533102117,0,0,0.644132044208984
0.104105104208417,2.76434305684837,0,0,0.644132044208984
0.106107106212425,1.95841780831885,0.0521330336825297,7,0.610551486652241
0.108109108216433,2.6619609277035,0,0,0.644132044208984
0.110111110220441,2.61356207765844,0,0,0.644132044208984
0.112113112224449,1.53881117193511,0.089571465618826,9,0.586436192957135
0.114115114228457,1.31489934597819,0.117088594894347,11,0.568711528226131
0.116117116232465,2.47837899646833,1.06743652890961e-17,1,0.644132044208984
0.118119118236473,1.75925836137361,0.0544783967571074,7,0.609040763140601
0.120121120240481,2.39576705099717,0,0,0.644132044208984
0.122123122244489,1.86748000865483,0.0362904442643815,5,0.620756206159716
0.124125124248497,1.32672228131484,0.10099192957791,10,0.579079906161355
0.126127126252505,2.28168381022871,0,0,0.644132044208984
0.128129128256513,2.24603277893905,0,0,0.644132044208984
0.130131130260521,2.21147869402868,0,0,0.644132044208984
0.132133132264529,2.17797169467592,1.18652058884587e-17,1,0.644132044208984
0.134135134268537,2.14546489680233,0,0,0.644132044208984
0.136137136272545,2.11391417419621,0,0,0.644132044208984
0.138139138276553,1.43592268746439,0.067602782459918,8,0.600586925748862
0.140141140280561,2.0535170573386,2.48803337499863e-17,1,0.644132044208984
0.142143142284569,1.68085391008859,0.028752690171247,4,0.625611515112471
0.144145144288577,1.25384468194551,0.0876759113154831,8,0.587657180225457
0.146147146292585,1.96912652283252,0,0,0.644132044208984
0.148149148296593,1.27804639781787,0.0790344931585078,8,0.593223394567774
0.150151150300601,1.26100589267007,0.0793625674295916,8,0.593012071416888
0.152153152304609,1.89139835515781,0,0,0.644132044208984
0.154155154308617,1.17242672426424,0.0894371123931498,8,0.586522734175036
0.156157156312625,1.75913856497124,0.00406885936598352,1,0.641511161507974
0.158159158316633,1.31387931377059,0.061252210831074,5,0.604677532434045
0.160161160320641,1.18219351646296,0.08092924092638,7,0.592002926814794
0.162163162324649,1.77464609024382,0,0,0.644132044208984
0.164165164328657,1.59727213524136,0.0115713779772599,3,0.636678548858177
0.166167166332665,1.13946388747574,0.0818174430351531,7,0.591430807374799
0.168169168336673,0.851701244919906,0.14135285290766,10,0.553082142110801
0.170171170340681,1.54089815586581,0.0117960454121351,3,0.636533833364084
0.172173172344689,1.67146959123734,0,0,0.644132044208984
0.174175174348697,1.65225740738962,0,0,0.644132044208984
0.176177176352705,1.4207192199256,0.0210842426739508,4,0.630551007874814
0.178179178356713,1.61512823583054,1.50006474865909e-17,1,0.644132044208984
0.180181180360721,1.59718246614255,3.02562200589072e-17,1,0.644132044208984
0.182183182364729,1.57963110681026,0,0,0.644132044208984
0.184185184368737,1.12822346220625,0.0648116427537694,5,0.602384788273456
0.186187186372745,1.54566072782729,0,0,0.644132044208984
0.188189188376753,1.52921761597098,1.56311299935718e-17,1,0.644132044208984
0.190191190380762,1.51312067307048,1.57552048096771e-17,1,0.644132044208984
0.19219319238477,1.49735908140219,1.58786183022882e-17,1,0.644132044208984
0.194195194388778,1.02143167498251,0.0761116643068741,5,0.595106082290849
0.196197196392786,1.27574860985993,0.0221576285514161,4,0.629859605635337
0.198199198396794,1.45198479271786,0,0,0.644132044208984
0.200201200400802,1.03796603606559,0.0666975228678081,5,0.601170032460468
0.20220320240481,1.42323276079908,1.64859485356355e-17,1,0.644132044208984
0.204205204408818,1.40927956676792,1.6605502894451e-17,1,0.644132044208984
0.206207206412826,1.39559730722929,0,0,0.644132044208984
0.208209208416834,1.38217816680267,0,0,0.644132044208984
0.210211210420842,0.943608679484666,0.0780516824277053,5,0.593856454452876
